drug_name,occurrences_in_pairs,distinct_ddinter_ids,ddinter_ids
Lefamulin,282,1,DDInter1032
Efalizumab,282,1,DDInter623
Iobenguane (I-131),282,1,DDInter952
Itraconazole,281,1,DDInter995
Aripiprazole,280,1,DDInter118
Degarelix,280,1,DDInter493
Perphenazine,279,1,DDInter1432
Ziprasidone,279,1,DDInter1967
Sertraline,279,1,DDInter1662
Iodide I-131,279,1,DDInter954
Cyclizine,279,1,DDInter453
Mesoridazine,278,1,DDInter1159
Quetiapine,278,1,DDInter1553
Cyclophosphamide,278,1,DDInter456
Dronedarone,277,1,DDInter602
Eluxadoline,276,1,DDInter632
Diltiazem,276,1,DDInter561
Sparfloxacin,275,1,DDInter1705
Ticlopidine,275,1,DDInter1804
Lithium carbonate,274,1,DDInter1081
Lomefloxacin,274,1,DDInter1084
Cetirizine,274,1,DDInter343
Levocetirizine,274,1,DDInter1053
Risperidone,273,1,DDInter1605
Aluminum hydroxide,272,1,DDInter58
Phenolphthalein,272,1,DDInter1443
Iodide I-123,272,1,DDInter953
Pexidartinib,271,1,DDInter1435
Prochlorperazine,271,1,DDInter1527
Quinidine,270,1,DDInter1556
Magnesium oxide,269,1,DDInter1119
Nitisinone,269,1,DDInter1300
Phenindamine,268,1,DDInter1441
Primidone,266,1,DDInter1521
Carfilzomib,266,1,DDInter299
Atropine,265,1,DDInter136
Indinavir,264,1,DDInter917
Tocilizumab,264,1,DDInter1824
Omeprazole,263,1,DDInter1340
Fosamprenavir,263,1,DDInter777
Typhoid vaccine (live),263,1,DDInter1894
Methadone,262,1,DDInter1166
Sotalol,262,1,DDInter1704
Imipramine,261,1,DDInter912
Talimogene laherparepvec,261,1,DDInter1743
Tucatinib,261,1,DDInter1891
Glycerol phenylbutyrate,260,1,DDInter833
Oliceridine,260,1,DDInter1329
Pimozide,260,1,DDInter1470
Chlorphenesin,260,1,DDInter361
Tositumomab,259,1,DDInter1838
Calcium carbonate,258,1,DDInter271
Scopolamine,258,1,DDInter1647
Darunavir,258,1,DDInter482
Phenylpropanolamine,258,1,DDInter1458
Lonafarnib,258,1,DDInter1087
Vibrio cholerae CVD 103-HgR strain live antigen (live),257,1,DDInter1932
Pentoxyverine,257,1,DDInter1427
Stiripentol,256,1,DDInter1711
Disulfiram,256,1,DDInter576
Abarelix,255,1,DDInter4
Teniposide,255,1,DDInter1765
Heparin,255,1,DDInter856
Trospium,254,1,DDInter1886
Methylene blue,254,1,DDInter1186
Promazine,253,1,DDInter1532
Dicyclomine,252,1,DDInter543
Hyoscyamine,252,1,DDInter896
Iloperidone,252,1,DDInter907
Sipuleucel-T,252,1,DDInter1677
Propantheline,251,1,DDInter1535
Phenylephrine,251,1,DDInter1453
Rifampicin,251,1,DDInter1590
Aminoglutethimide,251,1,DDInter71
Mitoxantrone,249,1,DDInter1234
Asenapine,248,1,DDInter125
Porfimer sodium,248,1,DDInter1493
Ixazomib,248,1,DDInter1002
Olanzapine,247,1,DDInter1326
Amitriptyline,247,1,DDInter78
Duloxetine,247,1,DDInter608
Haloperidol,247,1,DDInter853
Buprenorphine,246,1,DDInter251
Delavirdine,246,1,DDInter496
Prasugrel,246,1,DDInter1508
Selexipag,246,1,DDInter1656
Methotrimeprazine,245,1,DDInter1175
Etravirine,245,1,DDInter703
Trimethobenzamide,245,1,DDInter1873
Nortriptyline,244,1,DDInter1316
Mepenzolate,243,1,DDInter1149
Methscopolamine,243,1,DDInter1180
Paliperidone,243,1,DDInter1381
Duvelisib,243,1,DDInter612
Clidinium,242,1,DDInter397
Triflupromazine,242,1,DDInter1867
Demeclocycline,242,1,DDInter498
Bedaquiline,241,1,DDInter170
Amoxapine,241,1,DDInter82
Desipramine,241,1,DDInter504
Oxtriphylline,241,1,DDInter1363
Trimipramine,241,1,DDInter1876
Carvedilol,241,1,DDInter305
Trichophyton mentagrophytes,241,1,DDInter1862
Tuberculin purified protein derivative,241,1,DDInter1889
Budesonide (nasal),240,1,DDInter247
Verapamil,240,1,DDInter1928
Lactobacillus acidophilus,239,1,DDInter1017
Abemaciclib,238,1,DDInter7
Protriptyline,238,1,DDInter1543
Tramadol,237,1,DDInter1841
Propranolol,237,1,DDInter1539
Magaldrate,236,1,DDInter1112
Nifedipine,236,1,DDInter1291
Phenylbutazone,236,1,DDInter1451
Neratinib,235,1,DDInter1281
Interferon alfa-2b,233,1,DDInter943
Lindane,233,1,DDInter1072
Ranolazine,232,1,DDInter1570
Clofedanol,232,1,DDInter407
Esomeprazole,231,1,DDInter676
Naloxegol,231,1,DDInter1261
Somapacitan,231,1,DDInter1698
"Interferon alfa-2a, Recombinant",231,1,DDInter942
Dextropropoxyphene,230,1,DDInter528
"Smallpox (Vaccinia) Vaccine, Live",230,1,DDInter1680
Echinacea,229,1,DDInter614
Bifidobacterium longum infantis,229,1,DDInter206
Labetalol,229,1,DDInter1013
Diroximel fumarate,229,1,DDInter574
Oxcarbazepine,229,1,DDInter1360
Palifermin,229,1,DDInter1380
Conivaptan,227,1,DDInter438
Gentamicin,227,1,DDInter815
Monomethyl fumarate,227,1,DDInter1240
Minocycline,225,1,DDInter1224
Asparaginase Erwinia chrysanthemi,225,1,DDInter126
Potassium citrate,225,1,DDInter1498
Axitinib,225,1,DDInter147
Gefitinib,225,1,DDInter810
Methylphenobarbital,225,1,DDInter1190
Candida albicans,225,1,DDInter282
Coccidioides immitis spherule,225,1,DDInter428
Dinutuximab,225,1,DDInter568
Sulfamethizole,225,1,DDInter1723
Isoniazid,224,1,DDInter986
Pitolisant,224,1,DDInter1480
Darolutamide,224,1,DDInter481
Vorapaxar,224,1,DDInter1945
Doxycycline,223,1,DDInter598
Calaspargase pegol,223,1,DDInter264
Amikacin,223,1,DDInter66
