snapshot_date,record_type,atc_code,atc_name,ddd,uom,adm_r,note,brand_name,dosage_form,ingredients,ddd_comb
2021-12-03,main,A03BA01,atropine,1.5,mg,O,,,,,
2021-12-03,main,A03BA01,atropine,1.5,mg,P,,,,,
2021-12-03,main,A03BA03,hyoscyamine,1.2,mg,O,,,,,
2021-12-03,main,A03BA04,belladonna total alkaloids,1.0,mg,O,,,,,
2021-12-03,main,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,,,,,,,
2021-12-03,main,A03BB01,butylscopolamine,60.0,mg,O,,,,,
2021-12-03,main,A03BB01,butylscopolamine,60.0,mg,P,,,,,
2021-12-03,main,A03BB01,butylscopolamine,60.0,mg,R,,,,,
2021-12-03,main,A03BB02,methylatropine,3.0,mg,O,,,,,
2021-12-03,main,A03BB03,methylscopolamine,12.0,mg,O,,,,,
2021-12-03,main,A03BB03,methylscopolamine,12.0,mg,P,,,,,
2021-12-03,main,A03BB04,fentonium,60.0,mg,O,,,,,
2021-12-03,main,A03BB05,cimetropium bromide,,,,,,,,
2021-12-03,main,A03BB06,homatropine methylbromide,,,,,,,,
2021-12-03,main,A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,,,,,,,,
2021-12-03,main,A03CA,Synthetic anticholinergic agents in combination with psycholeptics,,,,,,,,
2021-12-03,main,A03CA01,isopropamide and psycholeptics,,,,,,,,
2021-12-03,main,A03CA02,clidinium and psycholeptics,,,,,,,,
2021-12-03,main,A03CA03,oxyphencyclimine and psycholeptics,,,,,,,,
2021-12-03,main,A03CA04,otilonium bromide and psycholeptics,,,,,,,,
2021-12-03,main,A03CA05,glycopyrronium bromide and psycholeptics,,,,,,,,
2021-12-03,main,A03CA06,bevonium and psycholeptics,,,,,,,,
2021-12-03,main,A03CA07,ambutonium and psycholeptics,,,,,,,,
2021-12-03,main,A03CA08,diphemanil and psycholeptics,,,,,,,,
2021-12-03,main,A03CA09,pipenzolate and psycholeptics,,,,,,,,
2021-12-03,main,A03CA30,emepronium and psycholeptics,,,,,,,,
2021-12-03,main,A03CA34,propantheline and psycholeptics,,,,,,,,
2021-12-03,main,A03CB,Belladonna and derivatives in combination with psycholeptics,,,,,,,,
2021-12-03,main,A03CB01,methylscopolamine and psycholeptics,,,,,,,,
2021-12-03,main,A03CB02,belladonna total alkaloids and psycholeptics,,,,,,,,
2021-12-03,main,A03CB03,atropine and psycholeptics,,,,,,,,
