nhi_code,tfda_permit_no,input_text,ocr_text,confidence,status,review_notes
A010482100,衛署藥製字第010482號,CHLORPHENIRAMINE MALEATE 2.5 MG+OROTIC ACID (=VIT B13) 30 MG+GLYCYRRHIZIC ACID (=GLYCYRRHETINIC ACID GLYCOSIDE) 50 MG,OROTIC ACID (VIT B13) ;; CHLORPHENIRAMINE MALEATE ;; GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID ),0.5,pending,NHI ingredients: CHLORPHENIRAMINE MALEATE 2.5 MG+OROTIC ACID (=VIT B13) 30 MG+GLYCYRRHIZIC ACID (=GLYCYRRHETINIC ACID GLYCOSIDE) 50 MG; TFDA ingredients: OROTIC ACID (VIT B13) ;; CHLORPHENIRAMINE MALEATE ;; GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID )
A010588100,衛署藥製字第010588號,ACETAMINOPHEN (=PARACETAMOL) 300 MG+PHENYLTOLOXAMINE CITRATE 22 MG+PHENYLPROPANOLAMINE HCL (=DL-NOREPHEDRINE HCL) 25 MG,DEXTROMETHORPHAN HBR ;; ACETAMINOPHEN (EQ TO PARACETAMOL) ;; CHLORPHENIRAMINE MALEATE ;; CAFFEINE ANHYDROUS ;; GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN),0.125,pending,NHI ingredients: ACETAMINOPHEN (=PARACETAMOL) 300 MG+PHENYLTOLOXAMINE CITRATE 22 MG+PHENYLPROPANOLAMINE HCL (=DL-NOREPHEDRINE HCL) 25 MG; TFDA ingredients: DEXTROMETHORPHAN HBR ;; ACETAMINOPHEN (EQ TO PARACETAMOL) ;; CHLORPHENIRAMINE MALEATE ;; CAFFEINE ANHYDROUS ;; GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)
A010614329,衛署藥製字第010614號,TRIAMCINOLONE (ACETONIDE) 5 MG/GM,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 5 MG/GM; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010615377,衛署藥製字第010615號,TRIAMCINOLONE (ACETONIDE) 1 MG/GM,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 1 MG/GM; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010615399,衛署藥製字第010615號,TRIAMCINOLONE (ACETONIDE) 1 MG/GM,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 1 MG/GM; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010720209,衛署藥製字第010720號,TRIAMCINOLONE (ACETONIDE) 40 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 40 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010720221,衛署藥製字第010720號,TRIAMCINOLONE (ACETONIDE) 40 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 40 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010794229,衛署藥製字第010794號,GENTAMICIN (SULFATE) 40 MG/ML,GENTAMICIN (AS SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: GENTAMICIN (SULFATE) 40 MG/ML; TFDA ingredients: GENTAMICIN (AS SULFATE)
A010797229,衛署藥製字第010797號,GENTAMICIN (SULFATE) 40 MG/ML,GENTAMICIN (AS SULFATE),0.3333333333333333333333333333,pending,NHI ingredients: GENTAMICIN (SULFATE) 40 MG/ML; TFDA ingredients: GENTAMICIN (AS SULFATE)
A010819100,衛署藥製字第010819號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A0108191G0,衛署藥製字第010819號,AMOXYCILLIN (TRIHYDRATE) 250 MG,AMOXICILLIN (TRIHYDRATE),0,pending,NHI ingredients: AMOXYCILLIN (TRIHYDRATE) 250 MG; TFDA ingredients: AMOXICILLIN (TRIHYDRATE)
A010845212,衛署藥製字第010845號,TRIAMCINOLONE (ACETONIDE) 40 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 40 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A010871277,衛署藥製字第010871號,ACETYLSALICYLATE (LYSINE) 500 MG,GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL) ;; ACETYLSALICYLATE (LYSINE),0.5,pending,NHI ingredients: ACETYLSALICYLATE (LYSINE) 500 MG; TFDA ingredients: GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL) ;; ACETYLSALICYLATE (LYSINE)
A010907209,衛署藥製字第010907號,TRIAMCINOLONE (ACETONIDE) 10 MG/ML,TRIAMCINOLONE ACETONIDE,0,pending,NHI ingredients: TRIAMCINOLONE (ACETONIDE) 10 MG/ML; TFDA ingredients: TRIAMCINOLONE ACETONIDE
A011007100,衛署藥製字第011007號,BERBERINE TANNATE 120 MG+CHLORPHENIRAMINE MALEATE 3 MG+SCOPOLAMINE METHOBROMIDE 1 MG+ETHACRIDINE LACTATE MONOHYDRATE (=ACRINOL) 30 MG+ALUMINUM SILICATE 300 MG,BERBERINE TANNATE ;; CHLORPHENIRAMINE MALEATE ;; SCOPOLAMINE METHYL BROMIDE ;; ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL) ;; SYNTHETIC ALUMINUM SILICATE,0.4285714285714285714285714286,pending,NHI ingredients: BERBERINE TANNATE 120 MG+CHLORPHENIRAMINE MALEATE 3 MG+SCOPOLAMINE METHOBROMIDE 1 MG+ETHACRIDINE LACTATE MONOHYDRATE (=ACRINOL) 30 MG+ALUMINUM SILICATE 300 MG; TFDA ingredients: BERBERINE TANNATE ;; CHLORPHENIRAMINE MALEATE ;; SCOPOLAMINE METHYL BROMIDE ;; ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL) ;; SYNTHETIC ALUMINUM SILICATE
A011007200,衛署藥製字第011007號,BERBERINE TANNATE 120 MG+CHLORPHENIRAMINE MALEATE 3 MG+SCOPOLAMINE METHOBROMIDE 1 MG+ETHACRIDINE LACTATE MONOHYDRATE (=ACRINOL) 30 MG+ALUMINUM SILICATE 300 MG,BERBERINE TANNATE ;; CHLORPHENIRAMINE MALEATE ;; SCOPOLAMINE METHYL BROMIDE ;; ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL) ;; SYNTHETIC ALUMINUM SILICATE,0.4285714285714285714285714286,pending,NHI ingredients: BERBERINE TANNATE 120 MG+CHLORPHENIRAMINE MALEATE 3 MG+SCOPOLAMINE METHOBROMIDE 1 MG+ETHACRIDINE LACTATE MONOHYDRATE (=ACRINOL) 30 MG+ALUMINUM SILICATE 300 MG; TFDA ingredients: BERBERINE TANNATE ;; CHLORPHENIRAMINE MALEATE ;; SCOPOLAMINE METHYL BROMIDE ;; ETHACRIDINE LACTATE MONOHYDRATE (ACRINOL) ;; SYNTHETIC ALUMINUM SILICATE
A011037421,衛署藥製字第011037號,DEXAMETHASONE (SODIUM PHOSPHATE) 1 MG/ML+NEOMYCIN SULFATE 3.5 MG/ML,DEXAMETHASONE PHOSPHATE (SODIUM) ;; NEOMYCIN (SULFATE),0.1666666666666666666666666667,pending,NHI ingredients: DEXAMETHASONE (SODIUM PHOSPHATE) 1 MG/ML+NEOMYCIN SULFATE 3.5 MG/ML; TFDA ingredients: DEXAMETHASONE PHOSPHATE (SODIUM) ;; NEOMYCIN (SULFATE)
A011081321,衛署藥製字第011081號,BETAMETHASONE (VALERATE) 1 MG/GM,BETAMETHASONE VALERATE,0,pending,NHI ingredients: BETAMETHASONE (VALERATE) 1 MG/GM; TFDA ingredients: BETAMETHASONE VALERATE
A011103318,衛署藥製字第011103號,IODINE (POVIDONE) 10 MG/ML,POVIDONE-IODINE,0,pending,NHI ingredients: IODINE (POVIDONE) 10 MG/ML; TFDA ingredients: POVIDONE-IODINE
A011103319,衛署藥製字第011103號,IODINE (POVIDONE) 10 MG/ML,POVIDONE-IODINE,0,pending,NHI ingredients: IODINE (POVIDONE) 10 MG/ML; TFDA ingredients: POVIDONE-IODINE
A011103340,衛署藥製字第011103號,IODINE (POVIDONE) 10 MG/ML,POVIDONE-IODINE,0,pending,NHI ingredients: IODINE (POVIDONE) 10 MG/ML; TFDA ingredients: POVIDONE-IODINE
A011103399,衛署藥製字第011103號,IODINE (POVIDONE) 10 MG/ML,POVIDONE-IODINE,0,pending,NHI ingredients: IODINE (POVIDONE) 10 MG/ML; TFDA ingredients: POVIDONE-IODINE
A011124100,衛署藥製字第011124號,SCOPOLAMINE BROMOBUTYLATE 10 MG,SCOPOLAMINE-N-BUTYLBROMIDE,0,pending,NHI ingredients: SCOPOLAMINE BROMOBUTYLATE 10 MG; TFDA ingredients: SCOPOLAMINE-N-BUTYLBROMIDE
A011126277,衛署藥製字第011126號,PHENYLALANINE L- 2.9 MG/ML+METHIONINE L- 2.4 MG/ML+THREONINE L- 1.8 MG/ML+TRYPTOPHAN L- .6 MG/ML+VALINE L- 2 MG/ML+GLYCINE (=AMINOACETIC ACID)(=GLYCOCOLL) 3.4 MG/ML,L-LEUCINE ;; L-THREONINE ;; L-TRYPTOPHAN ;; LYSINE L- HCL ( EQ TO L-LYSINE HCL) ;; L-VALINE ;; ARGININE HCL L- ;; GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL) ;; L-ISOLEUCINE ;; L-METHIONINE ;; HISTIDINE L- HCL (EQ TO L-HISTIDINE HYDROCHLORIDE) ;; L-PHENYLALANINE,0.5,pending,NHI ingredients: PHENYLALANINE L- 2.9 MG/ML+METHIONINE L- 2.4 MG/ML+THREONINE L- 1.8 MG/ML+TRYPTOPHAN L- .6 MG/ML+VALINE L- 2 MG/ML+GLYCINE (=AMINOACETIC ACID)(=GLYCOCOLL) 3.4 MG/ML; TFDA ingredients: L-LEUCINE ;; L-THREONINE ;; L-TRYPTOPHAN ;; LYSINE L- HCL ( EQ TO L-LYSINE HCL) ;; L-VALINE ;; ARGININE HCL L- ;; GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL) ;; L-ISOLEUCINE ;; L-METHIONINE ;; HISTIDINE L- HCL (EQ TO L-HISTIDINE HYDROCHLORIDE) ;; L-PHENYLALANINE
A011136209,衛署藥製字第011136號,BETAMETHASONE (SODIUM PHOSPHATE) 4 MG/ML,BETAMETHASONE (AS SODIUM PHOSPHATE),0.3333333333333333333333333333,pending,NHI ingredients: BETAMETHASONE (SODIUM PHOSPHATE) 4 MG/ML; TFDA ingredients: BETAMETHASONE (AS SODIUM PHOSPHATE)
A011136229,衛署藥製字第011136號,BETAMETHASONE (SODIUM PHOSPHATE) 4 MG/ML,BETAMETHASONE (AS SODIUM PHOSPHATE),0.3333333333333333333333333333,pending,NHI ingredients: BETAMETHASONE (SODIUM PHOSPHATE) 4 MG/ML; TFDA ingredients: BETAMETHASONE (AS SODIUM PHOSPHATE)
A011168100,衛署藥製字第011168號,BETAMETHASONE .5 MG,TARTRAZINE ALUMINUM LAKE ;; BETAMETHASONE ;; BETAMETHASONE ;; BETAMETHASONE,0.5,pending,NHI ingredients: BETAMETHASONE .5 MG; TFDA ingredients: TARTRAZINE ALUMINUM LAKE ;; BETAMETHASONE ;; BETAMETHASONE ;; BETAMETHASONE
